2021-11-22/21:41:02		Start of Validation on files!!
2021-11-22/21:41:08		Raw Data Validation Complete!!
2021-11-22/21:41:08		Starting Data Transforamtion!!
2021-11-22/21:41:10		DataTransformation Completed!!!
2021-11-22/21:41:10		Creating Training_Database and tables on the basis of given schema!!!
2021-11-22/21:41:14		Table creation Completed!!
2021-11-22/21:41:14		Insertion of Data into Table started!!!!
2021-11-22/21:41:17		Insertion in Table completed!!!
2021-11-22/21:41:17		Deleting Good Data Folder!!!
2021-11-22/21:41:17		Good_Data folder deleted!!!
2021-11-22/21:41:17		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-11-22/21:41:17		Bad files moved to archive!! Bad folder Deleted!!
2021-11-22/21:41:17		Validation Operation completed!!
2021-11-22/21:41:17		Extracting csv file from table
